0.261,0.058,0.114,483
0.273,0.046,0.042,4973
0.354,0.063,0.025,48573
1.433,0.229,0.118,482573
3.747,2.533,0.604,4242573
21.677,19.405,6.371,49142573
0.185,0.037,0.048,487
0.306,0.025,0.026,5077
0.538,0.039,0.022,50877
1.241,0.25,0.111,507877
2.994,2.349,0.799,5047877
20.264,21.338,7.607,51147877
0.185,0.047,0.057,408
0.233,0.024,0.019,4152
0.555,0.032,0.022,35985
1.031,0.162,0.081,363306
2.616,1.266,0.41,3243585
10.012,9.407,3.007,24028833
0.181,0.042,0.037,483
0.268,0.027,0.025,4593
0.497,0.037,0.022,50893
1.142,0.222,0.105,513893
2.933,2.125,0.65,5323893
19.268,17.89,6.581,48223893
0.178,0.047,0.05,572
0.302,0.021,0.021,8034
0.643,0.071,0.031,108589
1.745,0.519,0.194,1323530
7.909,7.639,2.49,18517252
98.505,93.251,38.77,240550466
0.165,0.034,0.047,386
0.169,0.018,0.023,3437
0.435,0.029,0.02,27842
0.778,0.122,0.05,223051
2.208,0.687,0.269,1784731
5.954,5.488,1.722,14278179
0.174,0.036,0.061,274
0.178,0.017,0.018,2206
0.293,0.023,0.018,14848
0.627,0.087,0.032,125294
1.502,0.301,0.134,756757
3.214,2.234,0.717,6101383
0.138,0.035,0.046,149
0.155,0.018,0.023,736
0.143,0.016,0.019,3073
0.27,0.017,0.013,12451
0.388,0.038,0.021,49966
0.816,0.114,0.041,200024
0.145,0.04,0.064,149
0.171,0.014,0.029,736
0.177,0.02,0.023,3073
0.225,0.023,0.015,12451
0.304,0.04,0.021,49966
0.724,0.133,0.044,200024
1.412,0.312,0.145,800244
2.481,1.204,0.388,3201119
5.675,4.946,1.55,12804657
0.18,0.034,0.053,612
0.315,0.028,0.016,11382
0.694,0.108,0.065,175857
2.405,0.912,0.329,2450607
13.171,12.666,4.107,34091232
0.255,0.03,0.089,4653
1.325,0.231,0.116,571253
19.947,21.667,6.466,51741253
